Capítulo y Sección,Requisito,Criterio de Cumplimiento,Evidencia
,Se incluyen planos de distribución de instalaciones.,Se deben incluir planos que muestren la disposición espacial de los diferentes componentes e instalaciones dentro del área del proyecto.,Planos de distribución de instalaciones en anexos.
,Se incluyen planos de obras civiles.,Se deben presentar planos técnicos que detallen la ingeniería y diseño de las obras civiles a ejecutar.,Planos de obras civiles en anexos.
,Se incluyen planos de ubicación de componentes del proyecto.,Se deben adjuntar planos que ilustren la ubicación específica de cada uno de los elementos clave del proyecto dentro del sitio.,Planos de ubicación de componentes del proyecto en anexos.
,Los planos están debidamente rotulados y a escala.,"Todos los planos deben contener un título claro, leyenda, escala gráfica y numérica, orientación (norte), y cualquier otra información necesaria para su correcta interpretación.",Verificación visual de rotulado y escala en todos los planos.
3.5.1 Etapa de Intervención y Construcción,Se describen todas las actividades a realizar durante la etapa de intervención y construcción.,Se deben detallar todas las operaciones que se llevarán a cabo desde la preparación del sitio hasta la finalización de las obras físicas.,Descripción narrativa de las actividades de la etapa.
,"Se describen las obras preliminares (ej. limpieza de terreno, adecuación).","Se deben describir las actividades iniciales como desbroce, nivelación, preparación de accesos, etc.",Descripción de obras preliminares.
,"Se describen los movimientos de tierra (ej. excavaciones, rellenos).","Se debe especificar el tipo y volumen de excavaciones, rellenos, cortes, terraplenes y disposición de material excedente.","Descripción de movimientos de tierra, con volúmenes estimados."
,"Se describen las obras de infraestructura (ej. cimentaciones, estructuras).","Se deben detallar los trabajos relacionados con la construcción de las bases, estructuras principales, edificaciones y sistemas.",Descripción de obras de infraestructura.
,"Se describen las instalaciones (ej. eléctricas, sanitarias).","Se deben describir la instalación de sistemas de agua potable, alcantarillado, energía eléctrica, telecomunicaciones, etc.",Descripción de instalaciones.
,Se describe el cronograma de actividades de esta etapa.,Se debe incluir un cronograma que muestre la secuencia y duración de cada actividad de la etapa de intervención y construcción.,Cronograma detallado de la etapa de construcción.
,Se estiman los volúmenes de generación de residuos en esta etapa.,"Se debe cuantificar la cantidad aproximada de residuos (sólidos, líquidos, peligrosos) que se generarán durante esta fase.",Estimación y cuantificación de volúmenes de residuos en la etapa de construcción.
,Se estiman los tipos de residuos generados en esta etapa.,"Se debe clasificar los diferentes tipos de residuos que se producirán (ej. escombros, madera, plásticos, aceites usados).",Clasificación y descripción de tipos de residuos en la etapa de construcción.
3.5.2 Etapa de Operación y Mantenimiento,Se describen todas las actividades a realizar durante la etapa de operación y mantenimiento.,Se deben detallar las acciones recurrentes y continuas que permitirán el funcionamiento y la conservación del proyecto a lo largo de su vida útil.,Descripción narrativa de las actividades de operación y mantenimiento.
,Se describe el proceso productivo detalladamente.,"Se debe explicar paso a paso el funcionamiento del proyecto o la manufactura del producto, incluyendo insumos, procesos y productos finales.",Descripción detallada del proceso productivo/de servicio.
,Se describen los insumos y materias primas a utilizar.,"Se deben listar y describir las sustancias, materiales y componentes que se requieren para la operación del proyecto.",Listado y descripción de insumos y materias primas.
,Se describen los productos y subproductos generados.,"Se deben identificar los bienes o servicios principales que resultan de la operación, así como cualquier producto secundario.",Listado y descripción de productos y subproductos.
,Se describen los tipos y volúmenes de residuos generados en esta etapa.,"Se debe clasificar y cuantificar los diferentes tipos y cantidades de residuos (sólidos, líquidos, gaseosos, peligrosos) que se producen durante la operación.",Cuantificación y clasificación de residuos en la etapa de operación.
,Se describe la gestión de los residuos generados.,"Se deben detallar los métodos y procedimientos para la recolección, almacenamiento, tratamiento y disposición final de los residuos.",Descripción de los métodos de gestión de residuos.
,Se describen las emisiones atmosféricas generadas.,"Se deben identificar y cuantificar los gases, partículas y vapores que serán liberados a la atmósfera durante la operación.",Identificación y cuantificación de emisiones atmosféricas.
,Se describen los vertidos de aguas residuales generados.,"Se deben identificar y cuantificar las descargas de aguas residuales (domésticas, industriales) y su destino.",Identificación y cuantificación de vertidos de aguas residuales.
,"Se describe el consumo de recursos naturales (agua, energía, etc.).","Se debe cuantificar y describir el uso de recursos como agua, energía eléctrica, combustibles, etc., durante la operación.",Cuantificación del consumo de recursos naturales.
,Se describe el plan de mantenimiento de instalaciones y equipos.,Se deben detallar las actividades programadas y preventivas para asegurar el buen funcionamiento de la infraestructura y maquinaria.,Descripción del plan de mantenimiento.
,Se describe el cronograma de actividades de esta etapa.,Se debe incluir un cronograma que muestre la periodicidad y duración de las principales actividades de operación y mantenimiento.,Cronograma detallado de la etapa de operación y mantenimiento.
3.5.3 Etapa de Cierre y Abandono,Se describen las actividades a realizar durante la etapa de cierre y abandono.,Se deben detallar los procedimientos y acciones que se llevarán a cabo al finalizar la vida útil del proyecto para desmantelar la infraestructura y restaurar el sitio.,Descripción narrativa de las actividades de cierre y abandono.
,Se describe el desmantelamiento de infraestructura.,"Se deben especificar los métodos y la secuencia para la remoción de edificaciones, estructuras, maquinaria y equipos.",Descripción de métodos y secuencia de desmantelamiento.
,Se describe la restauración del área.,"Se deben detallar las acciones para rehabilitar el sitio a condiciones lo más cercanas posibles a las originales, como revegetación, nivelación, etc.",Descripción de acciones de restauración del área.
,Se describe la disposición final de los residuos generados en esta etapa.,Se debe especificar cómo se manejarán y dispondrán finalmente los residuos y materiales resultantes del desmantelamiento.,Especificación de la disposición final de residuos de la etapa de cierre.
,Se describe el cronograma de actividades de esta etapa.,Se debe incluir un cronograma que muestre la secuencia y duración de las actividades de cierre y abandono.,Cronograma detallado de la etapa de cierre y abandono.
3.5.4 Descripción de Procesos,Se incluye la descripción del proceso productivo o de servicio.,Se debe proporcionar una explicación detallada de cómo se transforma la materia prima en producto o cómo se presta el servicio.,Descripción narrativa detallada del proceso.
,Se adjunta un diagrama de flujo de todos los procesos involucrados en el proyecto.,"Se debe incluir un esquema gráfico que represente la secuencia de operaciones, entradas, salidas y flujos de materiales/energía.",Diagrama de flujo de procesos en el documento o anexos.
,El diagrama de flujo incluye la identificación de entradas y salidas de cada proceso.,"El diagrama debe mostrar claramente qué recursos ingresan (entradas) y qué productos, subproductos o residuos salen (salidas) de cada etapa.",Verificación visual de entradas y salidas en el diagrama de flujo.
,Se identifican los puntos de generación de impactos ambientales significativos en el diagrama de flujo.,El diagrama debe señalar las etapas del proceso donde se prevé la ocurrencia de los impactos ambientales más relevantes.,Verificación visual de la identificación de puntos de impacto en el diagrama de flujo.
,Se identifican los puntos de consumo de recursos.,"El diagrama debe indicar las etapas del proceso donde se utilizan recursos naturales como agua, energía, etc.",Verificación visual de la identificación de puntos de consumo de recursos en el diagrama de flujo.
,Se identifican los puntos de generación de residuos.,"El diagrama debe mostrar las etapas donde se producen residuos sólidos, líquidos, gaseosos o peligrosos.",Verificación visual de la identificación de puntos de generación de residuos en el diagrama de flujo.
,Se incluye el balance de materia y energía del proceso.,Se debe presentar un análisis cuantitativo que demuestre la conservación de la masa y la energía a lo largo del proceso productivo.,Tabla o sección con el balance de materia y energía.
,El balance de materia y energía incluye las entradas y salidas de materias primas.,El balance debe cuantificar el ingreso y egreso de todas las materias primas utilizadas.,Datos de entradas y salidas de materias primas en el balance.
,El balance de materia y energía incluye las entradas y salidas de productos.,El balance debe cuantificar la producción de los bienes o servicios principales.,Datos de entradas y salidas de productos en el balance.
,El balance de materia y energía incluye las entradas y salidas de subproductos.,El balance debe cuantificar la generación de cualquier producto secundario.,Datos de entradas y salidas de subproductos en el balance.
,El balance de materia y energía incluye las entradas y salidas de residuos sólidos.,El balance debe cuantificar la generación de desechos sólidos.,Datos de entradas y salidas de residuos sólidos en el balance.
,El balance de materia y energía incluye las entradas y salidas de residuos líquidos.,El balance debe cuantificar la generación de aguas residuales.,Datos de entradas y salidas de residuos líquidos en el balance.
,El balance de materia y energía incluye las entradas y salidas de emisiones gaseosas.,El balance debe cuantificar la generación de gases y partículas liberadas al aire.,Datos de entradas y salidas de emisiones gaseosas en el balance.
3.6 ANÁLISIS DE ALTERNATIVAS,Se presenta un análisis de alternativas razonables para el proyecto.,"El estudio debe considerar y evaluar al menos tres opciones viables, incluyendo la opción ""Cero"" (no realizar el proyecto).",Sección con la descripción y evaluación de al menos tres alternativas (incluyendo la opción cero).
,"Las alternativas consideradas se basan en ubicación, tecnología y proceso.","Las opciones analizadas deben explorar diferentes sitios, métodos tecnológicos o secuencias de procesos.","Descripción de las alternativas que muestre la variación en ubicación, tecnología y/o proceso."
,Se realiza una evaluación ambiental de cada alternativa.,Cada alternativa debe ser examinada en términos de sus potenciales impactos positivos y negativos sobre el medio ambiente.,Cuadro comparativo o descripción de impactos ambientales por cada alternativa.
,Se seleccionan los criterios de evaluación para el análisis de alternativas.,"Se deben definir los parámetros (ej. económicos, sociales, ambientales, técnicos) bajo los cuales se compararán las alternativas.",Listado o descripción de los criterios de evaluación utilizados.
,Se presenta una justificación técnica de la alternativa seleccionada.,"Se deben exponer las razones claras y fundamentadas que llevaron a elegir la opción preferida, demostrando que es la más viable y ambientalmente favorable.",Sección de justificación de la alternativa seleccionada con argumentos técnicos.
3.7 Demanda de Recursos Naturales,Se cuantifica la demanda de agua para todas las etapas del proyecto.,"Se debe calcular el volumen total de agua requerido para cada fase del proyecto (construcción, operación, etc.).",Tabla o texto con la cuantificación de la demanda de agua por etapa.
,Se especifica la fuente de abastecimiento de agua.,"Se debe indicar de dónde se obtendrá el agua (ej. red pública, pozo, río).",Texto indicando la fuente de abastecimiento de agua.
,Se cuantifica la demanda de energía para todas las etapas del proyecto.,"Se debe calcular el consumo total de energía (eléctrica, combustibles) para cada fase del proyecto.",Tabla o texto con la cuantificación de la demanda de energía por etapa.
,Se especifica la fuente de abastecimiento de energía.,"Se debe indicar el origen de la energía (ej. red eléctrica, generadores, paneles solares).",Texto indicando la fuente de abastecimiento de energía.
,"Se cuantifica la demanda de otros recursos naturales (ej. suelo, aire) si aplica.","Si el proyecto requiere el uso significativo de otros recursos naturales, estos deben ser cuantificados y descritos.",Cuantificación y descripción de la demanda de otros recursos naturales (si aplica).
,Se incluyen las medidas para optimizar el uso de recursos.,"Se deben proponer y describir acciones para reducir el consumo, fomentar la eficiencia y minimizar el despilfarro de los recursos naturales.",Descripción de medidas de optimización de recursos.
3.8 Diagnóstico Ambiental de Línea Base,Se presenta una descripción detallada de las condiciones ambientales pre-operacionales del área de influencia.,"Se debe documentar el estado inicial y las características de los componentes ambientales (físicos, bióticos, socioeconómicos) del área de influencia antes del inicio del proyecto.",Sección descriptiva de las condiciones ambientales pre-operacionales.
,"La línea base se establece con información primaria (muestreos, mediciones) y secundaria (bibliografía, estudios previos).","La información debe ser una combinación de datos recolectados en campo (muestras, monitoreos) y datos existentes de fuentes confiables (publicaciones, informes).","Referencias a muestreos, mediciones, bibliografía y estudios previos en el texto."
,Se utilizan métodos de muestreo y análisis reconocidos y validados.,Los procedimientos empleados para la recolección y análisis de datos deben ser estándares y científicamente aceptados.,Descripción de métodos de muestreo y análisis utilizados. Informes de laboratorio en anexos.
,Se incluye un análisis de la representatividad de la información de línea base.,Se debe evaluar si los datos recopilados son suficientes y reflejan adecuadamente las condiciones ambientales del área.,Párrafo o sección de análisis de representatividad de la línea base.
,Se presenta un plan de muestreo si se requieren nuevos datos.,"Si la información existente es insuficiente, se debe proponer un plan detallado para la recolección de nueva data.","Plan de muestreo detallado, si aplica."
3.8.1 Medio Físico,Se caracteriza el medio físico del área de influencia.,"Se deben describir los componentes abióticos del entorno, incluyendo clima, aire, ruido, hidrología, geología, edafología y calidad de suelo.",Secciones específicas para cada componente del medio físico.
3.8.1.1 Climatología,"Se describen los parámetros climatológicos relevantes: Precipitación (valores medios, máximos, mínimos, distribución temporal).","Se deben presentar datos de precipitación, incluyendo promedios, valores extremos y cómo se distribuye a lo largo del año.",Tablas y gráficos de datos de precipitación.
,"Se describen los parámetros climatológicos relevantes: Temperatura (valores medios, máximos, mínimos, rangos).","Se deben presentar datos de temperatura, incluyendo promedios, valores extremos y variaciones.",Tablas y gráficos de datos de temperatura.
,Se describen los parámetros climatológicos relevantes: Humedad relativa.,Se deben presentar datos de humedad relativa.,Tablas y gráficos de datos de humedad relativa.
,Se describen los parámetros climatológicos relevantes: Velocidad y dirección del viento (rosa de vientos si es posible).,"Se deben presentar datos de velocidad y dirección predominante del viento, idealmente con una rosa de vientos.",Tablas y gráficos de datos de viento (con rosa de vientos si aplica).
,Se describen los parámetros climatológicos relevantes: Radiación solar.,Se deben presentar datos de radiación solar si es relevante para el proyecto.,Tablas y gráficos de datos de radiación solar (si aplica).
,Se incluye información de estaciones meteorológicas cercanas y representativas.,Los datos climatológicos deben provenir de estaciones con ubicación y período de registro adecuados para representar el área de estudio.,"Información de estaciones meteorológicas (nombre, ubicación, período de datos)."
,Se especifica la fuente de la información climatológica (ej. INAMHI).,Se debe indicar claramente la institución u origen de los datos climatológicos (ej. Instituto Nacional de Meteorología e Hidrología).,Mención de la fuente de información climatológica.
,Se presenta un análisis de la serie histórica de datos climatológicos.,Se deben analizar las tendencias y variaciones de los parámetros climáticos a lo largo del tiempo.,Análisis y discusión de la serie histórica de datos climatológicos.
3.8.1.2. Calidad del Aire / Emisiones,Se describe la calidad del aire actual en el área de influencia.,"Se deben presentar las características del aire ambiente antes del proyecto, incluyendo concentraciones de contaminantes.",Párrafo descriptivo de la calidad del aire.
,Se identifican las fuentes de emisión de contaminantes atmosféricos existentes.,"Se deben enumerar y describir cualquier actividad o proceso en el área que libere contaminantes al aire (ej. tráfico, industrias).",Listado y descripción de fuentes de emisión existentes.
,Se miden los parámetros de calidad del aire relevantes para el proyecto.,Se deben realizar mediciones de los contaminantes atmosféricos que son susceptibles de ser afectados por o que afectan al proyecto.,Informes de laboratorio y tablas de resultados de monitoreo de calidad del aire.
,Se comparan los resultados con la normativa aplicable (ej. límites máximos permisibles).,Los valores medidos deben ser comparados con los estándares de calidad del aire y límites de emisión establecidos por la legislación vigente.,Tablas comparativas de resultados de monitoreo con límites permisibles.
,Se incluye la ubicación de los puntos de monitoreo en un mapa.,Se debe adjuntar un mapa que muestre las coordenadas exactas de los lugares donde se realizaron las mediciones de calidad del aire.,Mapa con la ubicación de los puntos de monitoreo de calidad del aire.
,Se describen los métodos y equipos utilizados para el monitoreo.,Se deben detallar los procedimientos y la instrumentación empleada para la toma de muestras y análisis de calidad del aire.,Descripción de métodos y equipos de monitoreo.
,"Se presentan los resultados del monitoreo de manera clara (tablas, gráficos).","Los datos obtenidos deben ser organizados en formatos de fácil lectura, como tablas y gráficos, para su interpretación.",Tablas y gráficos con los resultados del monitoreo de calidad del aire.
3.8.1.3. Ruido Ambiental,Se describe el nivel de ruido ambiental existente en el área de influencia.,Se deben presentar los niveles de presión sonora (decibelios) presentes en el ambiente antes del proyecto.,Párrafo descriptivo del nivel de ruido ambiental.
,Se identifican las fuentes de ruido existentes.,"Se deben enumerar y describir cualquier actividad o elemento en el área que genere ruido (ej. vías, actividades comerciales, naturales).",Listado y descripción de fuentes de ruido existentes.
,Se realizan mediciones de ruido en puntos representativos.,Se deben realizar mediciones de los niveles de ruido en lugares clave dentro del área de influencia.,Informes de resultados de monitoreo de ruido.
,Se comparan los resultados con la normativa aplicable (ej. límites máximos permisibles).,Los valores medidos deben ser comparados con los estándares de ruido ambiental establecidos por la legislación vigente.,Tablas comparativas de resultados de monitoreo de ruido con límites permisibles.
,Se incluye la ubicación de los puntos de monitoreo en un mapa.,Se debe adjuntar un mapa que muestre las coordenadas exactas de los lugares donde se realizaron las mediciones de ruido.,Mapa con la ubicación de los puntos de monitoreo de ruido.
